,Schools in Building,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
105,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,10032.0,40.841321,-73.938506,12.0,10.0,251.0,1062994.0,1021250001.0,Washington Heights South                                                   
106,The SEEALL Academy |  P.S. K231 |  5601 16 AVENUE CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,11204.0,40.627029,-73.989672,12.0,44.0,470.0,3130809.0,3054920001.0,Borough Park                                                               
107,Jacqueline Kennedy Onassis High School,5.0,2.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10022.0,40.75924,-73.967203,6.0,4.0,108.0,1088892.0,1013300013.0,Turtle Bay-East Midtown                                                    
108,P.S. 116 Elizabeth L Farrell,1.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11237.0,40.697779,-73.916521,4.0,37.0,433.0,3075909.0,3033170001.0,Bushwick North                                                             
109,Thomas Jefferson Yabc |  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11207.0,40.667456,-73.894747,5.0,42.0,1156.0,3084440.0,3037880001.0,East New York (Pennsylvania Ave)                                           
110,P.S. 040 Augustus Saint-Gaudens |  M.S. 255 Salk School of Science |  319 EAST 19 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10003.0,40.735161,-73.982027,6.0,2.0,64.0,1020513.0,1009250012.0,Gramercy                                                                   
111,P.S. 169 Sunset Park,1.0,0.0,8C,1501-1750,0.66,3.26,7.31,1.77,1.74,11209.0,40.630843,-74.01913,10.0,43.0,134.0,3146921.0,3058990001.0,Bay Ridge                                                                  
112,P.S. 110 Florence Nightingale,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10019.0,40.765878,-73.988823,4.0,3.0,133.0,1026740.0,1010620003.0,Clinton                                                                    
113,Leon M. Goldstein High School for the Sciences,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11223.0,40.589268,-73.981738,13.0,47.0,308.0,3194998.0,3071850020.0,Gravesend                                                                  
114,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,0.0,1.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,10029.0,40.79564,-73.94441,11.0,8.0,172.0,1081346.0,1016390003.0,East Harlem South                                                          
115,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10029.0,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          
116,P.S. 146 |  Brooklyn Secondary School for Collaborative Studie |  610 HENRY STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11206.0,40.701692,-73.932338,4.0,34.0,425.0,3071915.0,3031530011.0,Bushwick South                                                             
117,P.S. 015 Patrick F. Daly,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11231.0,40.677343,-74.011558,6.0,38.0,53.0,3008585.0,3005660001.0,Carroll Gardens-Columbia Street-Red Hook                                   
118,P.S. 181 Brooklyn,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11212.0,40.660204,-73.913933,16.0,42.0,896.0,3082253.0,3035970011.0,Brownsville                                                                
119,"James Baldwin School, The: A School for Expedition |  MANHATTAN BUSINESS ACADEMY |  Landmark High School |  Quest to Learn |  Hudson High School of Learning Technologies |  Humanities Preparatory Academy |  351 WEST  18 STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10011.0,40.742867,-74.002136,4.0,3.0,89.0,1013096.0,1007420007.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
120,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  525 WEST  50TH STREET CONSOLIDATED LOCATION",,,3C,251-500,,,,,,10031.0,40.818188,-73.950356,9.0,9.0,21703.0,1059409.0,1019570078.0,Manhattanville                                                             
121,P.S. 335 Granville T. Woods |  M.S. 584 |  130 ROCHESTER AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11213.0,40.674656,-73.927794,8.0,36.0,307.0,3035887.0,3013550023.0,Crown Heights North                                                        
122,M.S. 131 |  Pace High School |  EMMA LAZARUS HIGH SCHOOL |  100 HESTER STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10033.0,40.850626,-73.934377,12.0,10.0,271.0,1063947.0,1021650026.0,Washington Heights North                                                   
123,P.S. 188 The Island School l Girls Prep Charter School | 442 East Houston Street,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10023.0,40.771925,-73.987328,7.0,6.0,147.0,1030320.0,1011520029.0,Lincoln Square                                                             
124,Vista Academy |  Liberty Avenue Middle School | ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL| 350 LINWOOD STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11208.0,40.677104,-73.883433,5.0,37.0,1170.0,3088357.0,3039690001.0,East New York                                                              
125,Bushwick Leaders High School for Academic Excellence ,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11239.0,40.646599,-73.878441,5.0,42.0,105801.0,3098300.0,3044520325.0,Starrett City                                                              
126,George Washington Yabc |  The College Academy |  High School for Media and Communications |  High School for Law and Public Service |  High School for Health Careers and Sciences |  549 AUDUBON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10024.0,40.785803,-73.974614,7.0,6.0,169.0,1032128.0,1012150001.0,Upper West Side                                                            
127,I.S. 068 Isaac Bildersee,1.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11236.0,40.635553,-73.91079,18.0,46.0,956.0,3224947.0,3080180001.0,Canarsie                                                                   
128,IS 096 Seth Low|  Success Academy Charter School| 99 AVENUE P CONSOLIDTED LOCATION,,,4C,501-750,,,,,,11204.0,40.60754,-73.984661,11.0,44.0,430.0,3174076.0,3065950033.0,Bensonhurst East                                                           
129,P.S. 243K- The Weeksville School,2.0,2.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11203.0,40.648423,-73.925948,17.0,45.0,946.0,3104513.0,3047390001.0,Rugby-Remsen Village                                                       
130,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10040.0,40.855954,-73.927051,12.0,10.0,277.0,1076751.0,1021600018.0,Washington Heights North                                                   
131,The Urban Assembly School for Law and Justice |  Urban Assembly Institute of Math and Science for Y |  283 ADAMS STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11201.0,40.694682,-73.988853,2.0,33.0,11.0,3331741.0,3001400010.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
132,P.S. 121 Nelson A. Rockefeller,0.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11237.0,40.703767,-73.922702,4.0,34.0,445.0,3072966.0,3032100001.0,Bushwick North                                                             
133,The School of Integrated Learning|KIPP AMP Charter School|1224 PARK PLACE CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11213.0,40.672713,-73.936924,8.0,36.0,343.0,3036405.0,3013700029.0,Crown Heights North                                                        
134,International High School at Prospect Heights |  The High School for Global Citizenship |  Brooklyn Academy of Science and the Environment |  Brooklyn School for Music & Theatre |  883 CLASSON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11225.0,40.670349,-73.961695,9.0,35.0,213.0,3029686.0,3011870001.0,Crown Heights South                                                        
135,It Takes a Village Academy |  Kurt Hahn Expeditionary Learning School |  Cultural Academy for the Arts and Sciences | New American Academy Charter School |  5800 TILDEN AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11203.0,40.648657,-73.922171,17.0,45.0,936.0,3104598.0,3047420001.0,Rugby-Remsen Village                                                       
136,Gramercy Arts High School|THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY|International High School at Union Square|Washington Irving Yabc|Union Square Academy for Health Sciences|Academy for Software Engineering|Success Academy Union Square (Manhattan 1)|40 IRVING PLACE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10003.0,40.735494,-73.987659,6.0,2.0,50.0,1017828.0,1008720057.0,Gramercy                                                                   
137,P.S. 245,1.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,,,,,,,,,
138,The Math & Science Exploratory School |  Brooklyn High School of the Arts |  345 DEAN STREET CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11217.0,40.683559,-73.98027,2.0,33.0,39.0,3001190.0,3001920013.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
139,Vista Academy |  Liberty Avenue Middle School | ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL| 350 LINWOOD STREET CONSOLIDATED LOCATION,,,5C,751-1000,,,,,,11224.0,40.5825,-73.973122,13.0,47.0,354.0,3196292.0,3072500025.0,West Brighton                                                              
140,P.S. 193 Gil Hodges,1.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11229.0,40.596757,-73.933499,15.0,46.0,570.0,3201629.0,3073930001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
141,P.S./I.S. 104 The Fort Hamilton School,0.0,0.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11209.0,40.618415,-74.028842,10.0,43.0,160.0,3154775.0,3060880001.0,Bay Ridge                                                                  
142,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",,,3C,251-500,,,,,,11201.0,40.697339,-73.985016,2.0,33.0,15.0,3000216.0,3001200020.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
143,P.S. 023 Carter G. Woodson |Brooklyn Charter School |545 WILLOUGHBY AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11206.0,40.69407,-73.94756,3.0,36.0,25901.0,3048818.0,3017590013.0,Bedford                                                                    
144,P.S. 054 Samuel C. Barnes,0.0,0.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,11205.0,40.693018,-73.953034,3.0,33.0,241.0,3049020.0,3017650015.0,Bedford                                                                    
145,River East Elementary |  P.S. 206 Jose Celso Barbosa |  508 EAST 120 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10026.0,40.802136,-73.947828,10.0,9.0,190.0,1051434.0,1016010001.0,Central Harlem South                                                       
146,Central Park East I|  Central Park East High School|  East Harlem Scholars Academy Charter School II|  East Harlem Scholars Academy Charter School|  1573 MADISON AVENUE CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10029.0,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          
147,P.S. 194 Raoul Wallenberg,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11235.0,40.579451,-73.943819,15.0,48.0,620.0,3246519.0,3087520035.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
148,P.S. 284 Lew Wallace,0.0,1.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,11203.0,40.646877,-73.920977,17.0,45.0,936.0,3104599.0,3047440001.0,Rugby-Remsen Village                                                       
149,Sunset Park High School,0.0,1.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11201.0,40.694926,-73.986015,2.0,33.0,13.0,3348041.0,3001310001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
150,P.S./I.S. 045 Horace E. Greene,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11207.0,40.686746,-73.910693,4.0,37.0,401.0,3079428.0,3034270011.0,Bushwick South                                                             
151,P.S. 298 Dr. Betty Shabazz |  Brownsville Collaborative Middle School |  85 WATKINS STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11212.0,40.670986,-73.908194,16.0,37.0,906.0,3080768.0,3035070007.0,Brownsville                                                                
152,P.S. 033 Chelsea Prep,0.0,1.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10009.0,40.726473,-73.975181,3.0,2.0,28.0,1004564.0,1003810038.0,Lower East Side                                                            
153,P.S. 298 Dr. Betty Shabazz |  Brownsville Collaborative Middle School |  85 WATKINS STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,11212.0,40.670986,-73.908194,16.0,37.0,906.0,3080768.0,3035070007.0,Brownsville                                                                
154,P.S. 058 The Carroll,0.0,0.0,5C,751-1000,0.38,1.71,2.38,0.98,0.82,11231.0,40.680149,-73.994938,6.0,39.0,77.0,3007547.0,3004490015.0,Carroll Gardens-Columbia Street-Red Hook                                   
155,47 The American Sign Language and English Secondar |  The 47 American Sign Language & English Lower Scho |  223 EAST 23 STREET CONSOLIDATED LOCATION,2.0,0.0,3C,251-500,0.27,0.9,1.67,0.63,0.44,10033.0,40.853466,-73.934048,12.0,10.0,271.0,1076752.0,1021670029.0,Washington Heights North                                                   
156,Sixth Avenue Elementary School,0.0,1.0,2C,1-250,0.24,0.71,1.71,0.51,0.32,10029.0,40.793856,-73.934028,11.0,8.0,178.0,1053152.0,1017130001.0,East Harlem North                                                          
157,P.S. 192 Jacob H. Schiff| Hamilton Grange Middle School| P.S. 325| 500 WEST 138 STREET CONSOLIDATED LOCATION,,,2C,1-250,,,,,,10030.0,40.821535,-73.940941,10.0,9.0,232.0,1060432.0,1020290011.0,Central Harlem North-Polo Grounds                                          
158,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,10065.0,40.765359,-73.960059,8.0,5.0,118.0,1083343.0,1014420001.0,Lenox Hill-Roosevelt Island                                                
159,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,,,4C,501-750,,,,,,11229.0,40.601617,-73.959779,15.0,48.0,556.0,3196677.0,3072910030.0,Homecrest                                                                  
160,John Ericsson Middle School 126| Citizens of the World Charter School 1 Williamsbur| Northside Charter High School| 424 LEONARD STREET CONSOLIDATED LOCATION,,,3C,251-500,,,,,,11222.0,40.719819,-73.948625,1.0,33.0,499.0,3067788.0,3027120001.0,Greenpoint                                                                 
161,J.H.S. 223 The Montauk |  Urban Assembly School for Criminal Justice |  4200 16 AVENUE CONSOLIDATED LOCATION,,,6C,1001-1250,,,,,,11204.0,40.634875,-73.981528,12.0,44.0,230.0,3125676.0,3053620021.0,Borough Park                                                               
162,P.S. 204 Vince Lombardi,0.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11204.0,40.61527,-73.987149,11.0,47.0,256.0,3134749.0,3055710001.0,Bensonhurst West                                                           
163,M.S. 51 William Alexander,5.0,0.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,11215.0,40.672015,-73.983947,6.0,39.0,135.0,3021057.0,3009810111.0,Park Slope-Gowanus                                                         
