,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,# Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N
269,2016 - 17,1065 ELTON STREET CONSOLIDATED LOCATION,K422,K,19,397.0,1065 ELTON STREET CONSOLIDATED LOCATION,2,13.0,FRANKLIN K. LANE HS,Academy for Young Writers |  Spring Creek Community School |  1065 ELTON STREET CONSOLIDATED LOCATION,,,
270,2016 - 17,234 WEST 109 STREET CONSOLIDATED LOCATION,M165,M,3,246.0,M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION,2,613.0,PS 158M ,M.S. 328 - Manhattan Middle School for Scientific |WHIN Music Community |  401 WEST 164 STREET CONSOLIDATED LOCATION,,,
271,2016 - 17,Upper School @ P.S. 25,K534,K,16,105.0,787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,2,202.0,PS 024K,P.S. 025 Eubie Blake School |  Success Academy Charter School - Bed Stuy 3 |  787 LAFAYETTE AVENUE CONSOLIDATED LOCATION,,,
272,2016 - 17,P.S. 092 Adrian Hegeman,K092,K,17,468.0,,1,213.0,PS 091K,P.S. 092 Adrian Hegeman,1.0,1.0,1.0
273,2016 - 17,P.S. 178 Saint Clair Mckelway,K178,K,23,968.0,,1,136.0,Teachers Preparatory ,P.S. 177 The Marlboro,0.0,0.0,0.0
274,2016 - 17,P.S. 219 Kennedy-King,K219,K,18,313.0,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,108.0,PS 214K,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",,,
275,2016 - 17,P.S. 38 Roberto Clemente,M038,M,4,1128.0,154 WEST  93 STREET CONSOLIDATED LOCATION,3,692.0,PS 116M,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,0.0,0.0,3.0
276,2016 - 17,3000 WEST 1 STREET CONSOLIDATED LOCATION,K370,K,21,,3000 WEST 1 STREET CONSOLIDATED LOCATION,2,1094.0,PS 156K,P.S. 370 |  Home Instruction - Brooklyn |  3000 WEST 1 STREET CONSOLIDATED LOCATION,,,
277,2016 - 17,I. S. 381,K381,K,22,640.0,1599 EAST  22 STREET CONSOLIDATED LOCATION,2,254.0,PS 195K,P.S. 197 - The Kings Highway Academy |  I. S. 381 |  1599 EAST  22 STREET CONSOLIDATED LOCATION,1.0,0.0,3.0
278,2016 - 17,319 EAST 117 STREET CONSOLIDATED LOCATION,M155,M,4,142.0,319 EAST 117 STREET CONSOLIDATED LOCATION,2,609.0,PS 152M,P.S. 155 William Paca |  Renaissance School of the Arts |  319 EAST 117 STREET CONSOLIDATED LOCATION,,,
