,School Year,Location Name,Location Code,Borough,Geographical District Code,Register,Building Name,Schools,NYPD Site Code,NYPD Site Name,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1622,2016 - 17,P.S. 186 Castlewood,Q186,Q,26,575.0,,1,939.0,PS 176Q,P.S. 183 Dr. Richard R. Green,0.0,0.0,1.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11426.0,40.750007,-73.721607,13.0,23.0,155102.0,4173640.0,4084010375.0,Glen Oaks-Floral Park-New Hyde Park                                        
1623,2016 - 17,120 WEST 231 STREET CONSOLIDATED LOCATION,X143,X,10,332.0,3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,3,459.0,MS 391X,Bronx Alliance Middle School |  One World Middle School at Edenwald |  Baychester Middle School |  3750 BAYCHESTER AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10463.0,40.875911,-73.901099,8.0,14.0,273.0,2015547.0,2032530141.0,Van Cortlandt Village                                                      
1624,2016 - 17,P.S. 121 Throop,X121,X,11,1148.0,,1,460.0,MS 399X,MS 118 William W. Niles | 577 East 179 Street,0.0,7.0,7.0,1.0,6.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10469.0,40.86608,-73.850982,11.0,13.0,348.0,2054253.0,2045260001.0,Allerton-Pelham Gardens                                                    
1625,2016 - 17,P.S. Q177,Q177,Q,26,674.0,,1,812.0,PS 169Q,P.S. 174 William Sidney Mount,0.0,0.0,0.0,0.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,11365.0,40.74391,-73.788133,11.0,20.0,1417.0,4128231.0,4056740002.0,Auburndale                                                                 
1626,2016 - 17,P.S. 178 - Dr. Selman Waksman,X178,X,11,265.0,3177 WEBSTER AVENUE CONSOLIDATED LOCATION,3,432.0,CS 214X,P.S. 056 Norwood Heights| Bedford Park Elementary School| P469X - The Bronx School for Continuous Learners| 3177 WEBSTER AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10475.0,40.875894,-73.833863,10.0,12.0,46201.0,2116161.0,2051410150.0,Co-op City                                                                 
1627,2016 - 17,Queens Academy High School,Q540,Q,25,1366.0,,1,875.0,PS 015Q,P.S. 020 John Bowne,0.0,1.0,1.0,0.0,1.0,7C,1251-1500,0.64,3.02,5.77,1.72,1.54,11354.0,40.765162,-73.8288,7.0,20.0,88901.0,4112106.0,4049560055.0,Flushing                                                                   
1628,2016 - 17,P.S. 103 Hector Fontanez,X103,X,11,497.0,1827 ARCHER STREET CONSOLIDATED LOCATION,3,341.0,IS 098X,  Archer Elementary School |  PS 536 |  Bronx Little School |  1827 ARCHER STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,10466.0,40.892151,-73.861466,12.0,12.0,420.0,2062883.0,2048230001.0,Williamsbridge-Olinville                                                   
1629,2016 - 17,International High School at LaGuardia Community C,Q530,Q,24,3422.0,,1,1059.0,CAMPUS MAGNET HS (A.J. HS),Hillcrest High School,2.0,12.0,20.0,7.0,7.0,12C,3001-4000,1.13,8.47,15.33,3.8,3.07,11101.0,40.744412,-73.93364,2.0,26.0,179.0,4003442.0,4002490001.0,Hunters Point-Sunnyside-West Maspeth                                       
1630,2016 - 17,Comprehensive Model School Project M.S. 327,X327,X,9,1044.0,275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION,2,1060.0,PS 188X,I.S. 229 Roland Patterson | The New American Academy at Roberto Clemente State |  275 HARLEM RIVER PARK BRIDGE CONSOLIDATED LOCATION,2.0,1.0,1.0,0.0,3.0,6C,1001-1250,0.57,2.12,3.64,1.39,1.05,10452.0,40.842495,-73.916082,4.0,14.0,209.0,2008336.0,2028590077.0,West Concourse                                                             
1631,2016 - 17,P.S. X015 Institute for Environmental Learning,X015,X,10,674.0,,1,516.0,PS/MS 003X,P.S. 011 Highbridge,1.0,0.0,1.0,1.0,0.0,4C,501-750,0.28,1.11,1.74,0.75,0.53,10453.0,40.85881,-73.909746,7.0,14.0,255.0,2096013.0,2032240009.0,Kingsbridge Heights                                                        
